id;nom;prenom;genre;dateNaissance;codePostal;telephone;parcours;ects;moyenne;login;password;status
117;Le;Franck;NULL;NULL;NULL;NULL;gsi;30;13,115;FranckLe@cy-tech.fr;$2y$10$rFgvG/4J5BACSCds5xFoLu7gkGkc6C/i4.bAip/O7.5OWG/KrdiXm;etudiant
118;Renault;Michel;NULL;NULL;NULL;NULL;gsi;30;13,111;MichelRenault@cy-tech.fr;$2y$10$yePIk.pJKKUXk8YAOzRr5epsCYMs6akYbrCpq/F4Gdmt7oSMKrpbq;etudiant
119;Wagner;Margaud-Laure;NULL;NULL;NULL;NULL;gsi;30;13,095;Margaud-LaureWagner@cy-tech.fr;$2y$10$xqSIVULDRyS6J76o5L4JKOGLnUD04Hb0YYllCGJVCFcfH4VTWZCJe;etudiant
120;de;Suzanne;NULL;NULL;NULL;NULL;gsi;30;13,063;Suzannede@cy-tech.fr;$2y$10$/8GBsg0wgCyPVIJSCJT6.OX7WmcspsP87L9CWYlCP92DuYAovPRvu;etudiant
121;Ferrand;David;NULL;NULL;NULL;NULL;gsi;30;13,017;DavidFerrand@cy-tech.fr;$2y$10$JDa.OH41TqoWD1OtCsSinuODdD8qIqi75lAiT1KJ/JmdDI0o2MItG;etudiant
122;Duhamel;François;NULL;NULL;NULL;NULL;gsi;30;13,014;FrançoisDuhamel@cy-tech.fr;$2y$10$j009LGu5kt1QOX3CECjUG.lza0UB8aMpAT8568VZ.jVuEDJYhEkni;etudiant
123;Blot-Barbier;Franck;NULL;NULL;NULL;NULL;gsi;30;12,99;FranckBlot-Barbier@cy-tech.fr;$2y$10$btBRE7iahFeYvGkLGk2mle4uCChrwqpcSIXmb7p865K5H/.f766Ye;etudiant
124;Martins;Benjamin;NULL;NULL;NULL;NULL;gsi;30;12,989;BenjaminMartins@cy-tech.fr;$2y$10$5wUZti95K2eetNYjKXakfem7a2xKWsjF1T6fVJMhsIA9Ex/hroCcW;etudiant
125;du;Hugues;NULL;NULL;NULL;NULL;gsi;30;12,979;Huguesdu@cy-tech.fr;$2y$10$.gicM.czZqB3DzrXMj5gRefZeyyKaw6XHeF0Yr8SjZezqRul9peey;etudiant
126;Pons-Alves;Joséphine;NULL;NULL;NULL;NULL;gsi;30;12,961;JoséphinePons-Alves@cy-tech.fr;$2y$10$nz0Swp4xw5GE2LuhwHPg8e834tJ/n0Sg5eJ5GL.AAuACdQfdvg64O;etudiant
127;Martin;Diane;NULL;NULL;NULL;NULL;gsi;30;12,893;DianeMartin@cy-tech.fr;$2y$10$U7VYlxKe/aaDJoMAfhXxv.o1oGErNsLWtfcM78F/j8M1CEwgqyw5u;etudiant
128;Fournier;Auguste;NULL;NULL;NULL;NULL;gsi;30;12,886;AugusteFournier@cy-tech.fr;$2y$10$yXJ/yOaU3Ls2tliu0qsarumYX7EO3f859Ao6hg7yc.MU/vzIY2TMm;etudiant
129;Louis;Théodore;NULL;NULL;NULL;NULL;gsi;30;12,877;ThéodoreLouis@cy-tech.fr;$2y$10$wEvBCk5Myk5Rlj0GxCX17u3U1AweC62ZOED4g5bYr5Z8PDx2lu7dq;etudiant
130;Joubert;Chantal;NULL;NULL;NULL;NULL;gsi;30;12,875;ChantalJoubert@cy-tech.fr;$2y$10$GW6YCMom2vTl.hzZc9YOceOpxvws3OrlAvn13R592uZHe0BCgZewq;etudiant
131;Bouvet;Inès;NULL;NULL;NULL;NULL;gsi;30;12,822;InèsBouvet@cy-tech.fr;$2y$10$ON8rNjcxRBkhwrzVjITGpOK.BuMcr0294vosp4Cui5BvEWCTUBdHm;etudiant
132;Le;Sylvie;NULL;NULL;NULL;NULL;gsi;30;12,802;SylvieLe@cy-tech.fr;$2y$10$fj4OtEJ1cHq194t3w8ntMunJLR/ORF0m96ja.ZA4vkOTmboNXXMPW;etudiant
133;Ollivier;Anouk-Pénélope;NULL;NULL;NULL;NULL;gsi;30;12,756;Anouk-PénélopeOllivier@cy-tech.fr;$2y$10$.WA9D200/d.Ry4AB8aiUbeZQIb1vd05ZSb8ug4JLdJAdHA2/YXqmG;etudiant
134;Evrard;Olivie;NULL;NULL;NULL;NULL;gsi;30;12,689;OlivieEvrard@cy-tech.fr;$2y$10$P8sR1J/7.S9iPwzgUlrRAuDLwdjmMIHJxWIExj/PYCSLR4E5nSrou;etudiant
135;Roche;Augustin;NULL;NULL;NULL;NULL;gsi;30;12,601;AugustinRoche@cy-tech.fr;$2y$10$3AjWFkEbOqaQcLbXtatkleQqzcJV6MQdzAV.Am1DYHPUAp1305VZC;etudiant
136;du;Marcelle;NULL;NULL;NULL;NULL;gsi;30;12,394;Marcelledu@cy-tech.fr;$2y$10$.l2lUMHJgI.b0kYEX2EBde2PAlYyubjDUOIL7YnaXwt2kXAuyuzsy;etudiant
137;Loiseau;Antoine;NULL;NULL;NULL;NULL;gsi;30;12,307;AntoineLoiseau@cy-tech.fr;$2y$10$W5A/WTOeKOZa0ks7wt0LGudgpFrldnPWelKbqffUmdd5ohhHf/X6a;etudiant
138;Pottier;Jérôme;NULL;NULL;NULL;NULL;gsi;30;12,294;JérômePottier@cy-tech.fr;$2y$10$CwRbYG0MU2rGvlJjrcb1gOEH5MWczm/HkFClFnWUeVpW0dZUK1Pia;etudiant
139;Lesage;Julie;NULL;NULL;NULL;NULL;gsi;30;12,279;JulieLesage@cy-tech.fr;$2y$10$xkqrMWbgsnYgqDEgohk7wevU/H/wRTZL0T3FwCx37vQyXVBYws4Em;etudiant
140;Guibert;Jacques;NULL;NULL;NULL;NULL;gsi;30;12,247;JacquesGuibert@cy-tech.fr;$2y$10$QwyHCMS8sVZANDIrI3eCXOG62fwz1XtI36j86QljIKwaeOY4TrAzu;etudiant
141;Albert;Paulette-Valérie;NULL;NULL;NULL;NULL;gsi;30;12,222;Paulette-ValérieAlbert@cy-tech.fr;$2y$10$0VzSETRm/9W7DHrdN9pDQO.ADUDetdXAZnPNe54I/aA7InrxL4xqi;etudiant
142;Lefort-Letellier;Antoine;NULL;NULL;NULL;NULL;gsi;30;12,126;AntoineLefort-Letellier@cy-tech.fr;$2y$10$dntgh/pB626u8MJpxxLzYuQLroNxEwpv0vH2hmh8D69Uge8ovBtK.;etudiant
143;de;Josette;NULL;NULL;NULL;NULL;gsi;30;11,888;Josettede@cy-tech.fr;$2y$10$ts3Uk.tJVeRa3yZp8rawTuACa.blsxUzy99Wz9p.XjpnZGdhn.01S;etudiant
144;Deschamps;Pénélope;NULL;NULL;NULL;NULL;gsi;30;11,881;PénélopeDeschamps@cy-tech.fr;$2y$10$Fl8uJHrymQoTgK4gzqV6Aek5UfW6LqSaZpKIxHxFI37/HrV.LQzky;etudiant
145;Meyer;Thérèse;NULL;NULL;NULL;NULL;gsi;30;11,74;ThérèseMeyer@cy-tech.fr;$2y$10$2uUaDijBgD8gopYGbgpcSOaMbBAaKDUfRnlVcGA70ZMws68LhB3Iu;etudiant
146;Guyot;Marcel;NULL;NULL;NULL;NULL;gsi;30;11,629;MarcelGuyot@cy-tech.fr;$2y$10$IFVKiRw1gUOciyfgaN/oF.Qy1FFkJEto5/wzXdolIUZPf5jjt49e2;etudiant
147;Bernard;Daniel;NULL;NULL;NULL;NULL;gsi;30;11,59;DanielBernard@cy-tech.fr;$2y$10$W8mRkZsLIDWCi4TgzEFHJ.Nd3gw4B0DMf1ysPVJgiZEl9NkCykNge;etudiant
148;Fernandez;Julie;NULL;NULL;NULL;NULL;gsi;30;11,349;JulieFernandez@cy-tech.fr;$2y$10$MER/s2tZJnAsX1ihfFlerORw6FqaW6OwriZ8.HjVLlJqj7lOzqNZC;etudiant
149;Lesage;Hugues;NULL;NULL;NULL;NULL;gsi;30;11,169;HuguesLesage@cy-tech.fr;$2y$10$lClm0sIFSzLH.O9w0hUnuetDoEA9iJH9yxT6Sb02I3yHXfGi3hORC;etudiant
150;Guibert-Huet;Zoé;NULL;NULL;NULL;NULL;gsi;30;11,063;ZoéGuibert-Huet@cy-tech.fr;$2y$10$wu2M7nY8F642GJt1xkGuMO2q5bIMnb2mXCcJtitZgP70TnNWyRodK;etudiant
151;Gauthier;Augustin;NULL;NULL;NULL;NULL;gsi;15;14,286;AugustinGauthier@cy-tech.fr;$2y$10$zLWClveloEQngM58nmFTiuxc4F5cXpXAMAwEsD4/5XSiEEHd7iX3u;etudiant
152;Le;Luce;NULL;NULL;NULL;NULL;gsi;15;13,628;LuceLe@cy-tech.fr;$2y$10$wKifh7m1xyXKr3uG2.oT6.1SzJiNT8jORI3/dgV.hsaDiw/Ur0CLa;etudiant
153;Boulanger;Stéphane;NULL;NULL;NULL;NULL;gsi;15;12,471;StéphaneBoulanger@cy-tech.fr;$2y$10$oJAE2RU4zUwsoaDDL8ZcIOd4p5magXFyJeNIrPwphMVVT3X86PDl2;etudiant
154;Loiseau;Alfred;NULL;NULL;NULL;NULL;gsi;15;12,233;AlfredLoiseau@cy-tech.fr;$2y$10$Re2uzc5vdBz8BBVrG6sA6.EX4KAEz/4AuQI2VAwQzj7z/rikJw.de;etudiant
155;Le;Brigitte;NULL;NULL;NULL;NULL;gsi;15;12,217;BrigitteLe@cy-tech.fr;$2y$10$NcMhVwKTGCfuhjwDhx/rvuZaKM56Q7i5x55.zzSLS5mNVrXtZ/aMC;etudiant
156;Guillot;Alice;NULL;NULL;NULL;NULL;gsi;15;12,06;AliceGuillot@cy-tech.fr;$2y$10$/9YUZbij3ZZ8RR9OCbJpe.EIdFw8Ar/mc6vHuRhMuGV3Ahrq8v3EC;etudiant
157;Le;Lucy;NULL;NULL;NULL;NULL;gsi;15;11,79;LucyLe@cy-tech.fr;$2y$10$sySK0lfXjaVzW/0O4FWCTOKj9Pt09aWJi0VL2GU5Dw9GNLF6exyba;etudiant
158;Charpentier-Leroux;Madeleine;NULL;NULL;NULL;NULL;gsi;15;11,763;MadeleineCharpentier-Leroux@cy-tech.fr;$2y$10$U2G5yZ1mRJ3x7TxdqjT43uvWceM6BzWShwMrplZFBNlywyeyRKrEe;etudiant
159;du;Emmanuel;NULL;NULL;NULL;NULL;gsi;15;11,617;Emmanueldu@cy-tech.fr;$2y$10$3XR8cOIPxcvqW3VbeNW2l.YNylKBLZo5r01qmD0wt2R0gldOK6jyq;etudiant
160;de;Bernard;NULL;NULL;NULL;NULL;gsi;15;11,602;Bernardde@cy-tech.fr;$2y$10$el2p7BXatvvYJAF4fGyQ1ulWlNtVOiJiHD1bs7VWxwGDn0xrSH6Zi;etudiant
161;Auger;Céline;NULL;NULL;NULL;NULL;gsi;15;11,535;CélineAuger@cy-tech.fr;$2y$10$PPjtLY2x9iHADaFHQHhq0eVU654jIJ3fwkWZ5JPbWVoAWdoizuKpe;etudiant
162;Picard;Auguste;NULL;NULL;NULL;NULL;gsi;15;11,53;AugustePicard@cy-tech.fr;$2y$10$BAQ0m4WCHqE1By/qBQJvUeR3kaeOzt4sy5uqCkyHGxjAUVUk56I.S;etudiant
163;Allain;Augustin;NULL;NULL;NULL;NULL;gsi;15;11,513;AugustinAllain@cy-tech.fr;$2y$10$AcRuj398GHE.Ubpfejnus.fCHVG6bNEUa7wupPJIMRH98Iob7sEMK;etudiant
164;Pichon;Aurore;NULL;NULL;NULL;NULL;gsi;15;11,41;AurorePichon@cy-tech.fr;$2y$10$nMfalEOP3NGj4x9grFJJ8O/M6/pQ4XhbQGCNwtxy3mxT0HVcKR9v2;etudiant
165;Bruneau;Danielle-Joséphine;NULL;NULL;NULL;NULL;gsi;15;11,389;Danielle-JoséphineBruneau@cy-tech.fr;$2y$10$zJv2nryHwz8kYiDn.l59Y.rW8zl6QqN.d9glEhNaWEzENqZaonjuO;etudiant
166;Nguyen;Océane;NULL;NULL;NULL;NULL;gsi;15;11,37;OcéaneNguyen@cy-tech.fr;$2y$10$/6fcr5wDIvKoCi6DX47v4.0V4PXMuFVNg5yua0Xisa9C.KbK5gE/O;etudiant
167;Perret;Alexandre;NULL;NULL;NULL;NULL;gsi;15;11,305;AlexandrePerret@cy-tech.fr;$2y$10$bGaT5wsyQb2oRFckdqttgelNwIlxJsgLai5NmX0kDvhVJjvF1T79q;etudiant
168;Vasseur;Gabrielle;NULL;NULL;NULL;NULL;gsi;15;10,902;GabrielleVasseur@cy-tech.fr;$2y$10$JT92U8haKm71ijoH5BgSFugDKVEtpnFqgT4jr0GhN7Gp9BPg4HHpm;etudiant
169;Mary;Pierre;NULL;NULL;NULL;NULL;gsi;15;10,831;PierreMary@cy-tech.fr;$2y$10$oCW.u1P4WlqkxFCyUv1JJu9FyyqL.frfPLUqQH0.wEHyjtjranZTO;etudiant
170;Guibert;Michelle;NULL;NULL;NULL;NULL;gsi;15;10,758;MichelleGuibert@cy-tech.fr;$2y$10$1UWyaZsnyyZFmeRYXQpVOOC68zhvfcGUALrpbmziGkCrogjXm4fw.;etudiant
171;de;Marguerite;NULL;NULL;NULL;NULL;gsi;15;10,367;Margueritede@cy-tech.fr;$2y$10$CuX5ElRUDwNkgZ7sNYt5Yese4kjOkZUs0DRROgMFH371KdDKxkbD2;etudiant
172;Vasseur;Victor;NULL;NULL;NULL;NULL;gsi;15;10,337;VictorVasseur@cy-tech.fr;$2y$10$Pk2y1dpZ4M9Dp4C1bA.9SeilFSmjjS1DuD4dnkDBn3aQ54ooFl6Du;etudiant
173;Bonnet;Simone-Gabrielle;NULL;NULL;NULL;NULL;gsi;15;10,301;Simone-GabrielleBonnet@cy-tech.fr;$2y$10$ilHhZo4MK1lMwacNfxLjo.E3a.3rGL8lIEjDYpeXE4NFDFeWPqEDu;etudiant
174;Menard;Adrien-Xavier;NULL;NULL;NULL;NULL;gsi;15;10,291;Adrien-XavierMenard@cy-tech.fr;$2y$10$Dxa87Ey4kJ9bgcTgA5qnfuNGb7XsNvlkVlJqH/mVpPnc.iJhnP4Ky;etudiant
175;Carlier;Marcel;NULL;NULL;NULL;NULL;gsi;15;10,29;MarcelCarlier@cy-tech.fr;$2y$10$oCCHWgV9IWEu/D.wz.wa7uTWJuvkqocF54qbl4w2XnjrL.vbNrsH2;etudiant
176;Muller;Zacharie;NULL;NULL;NULL;NULL;gsi;15;10,147;ZacharieMuller@cy-tech.fr;$2y$10$YiAbr7Dehdohrx7kxUlKCOjUHmVkpp.ARL7mpbLdmVWNP3BJNbN.y;etudiant
177;Mendes;Andrée;NULL;NULL;NULL;NULL;gsi;15;10,068;AndréeMendes@cy-tech.fr;$2y$10$wbasewBsl7ORImLVyVgvP.z9or4/oF2YouviU.m1uVNIyPsfoAgum;etudiant
178;Clerc-Maillard;Auguste;NULL;NULL;NULL;NULL;gsi;15;8,952;AugusteClerc-Maillard@cy-tech.fr;$2y$10$5zDLUBoBHEVVlBqnvso1LeIm/gjzEzymsscba4mBXqCNdb.k8pMOC;etudiant
179;Maillard;Léon;NULL;NULL;NULL;NULL;gsi;15;8,768;LéonMaillard@cy-tech.fr;$2y$10$6VmJmMmAv3f3rk4E8jM2F./aFnNu5VO8WO3Ru8bkyTNzuXPPxnUjS;etudiant
180;Poulain;Jeanne;NULL;NULL;NULL;NULL;gsi;30;13,411;JeannePoulain@cy-tech.fr;$2y$10$v74wlHbFWmW73Emaq63H5uUqK3/AtV6WCeY2uHXz4IB/CuFq7wmdG;etudiant
181;Thomas;François;NULL;NULL;NULL;NULL;gsi;30;12,628;FrançoisThomas@cy-tech.fr;$2y$10$uLrsVKtDcJtnW6LjaPE/9OA8DeKC/6515DRZ.78x0LdeHjB/Ufueq;etudiant
182;Bouvier;André;NULL;NULL;NULL;NULL;gsi;30;12,333;AndréBouvier@cy-tech.fr;$2y$10$9.QDPFseJzx3WvQYCcG5AOZmx/ez33uJ/tEKgqgGq8SZwi7aVJQp2;etudiant
183;Lecomte;Monique;NULL;NULL;NULL;NULL;gsi;15;13,528;MoniqueLecomte@cy-tech.fr;$2y$10$p450clNBxqTx7x1KCE3Aj.RehPbPKkzmlaBrcFCXuCbZPqLWpCM76;etudiant
184;Dufour;Gérard;NULL;NULL;NULL;NULL;gsi;15;13,036;GérardDufour@cy-tech.fr;$2y$10$/bs/6kMFGJC1//4DXMQ.Pery.AKwAeBv4HLKUgxjPznSRdFfjdTaa;etudiant
185;Andre;William;NULL;NULL;NULL;NULL;gsi;15;12,897;WilliamAndre@cy-tech.fr;$2y$10$EgYkk4k6XfSsBHMkiIW12ONBThwBFK2/imLaeh1dXDUV05TWjMK8K;etudiant
186;Blanchet;Gabriel;NULL;NULL;NULL;NULL;gsi;15;12,597;GabrielBlanchet@cy-tech.fr;$2y$10$VlnItUqIat5jcK4lwnKezOyGIxoPuYP1NrCJ9hDGLNqYdhJrw1fFS;etudiant
187;Maillot-Guyot;Frédérique;NULL;NULL;NULL;NULL;gsi;15;11,851;FrédériqueMaillot-Guyot@cy-tech.fr;$2y$10$l5ap8gPXOPy2CKiPa63JvuGkJcsvOw6HsSwh3dwy7Oixg3I97kw0.;etudiant
188;Deschamps;Gilbert;NULL;NULL;NULL;NULL;gsi;15;11,51;GilbertDeschamps@cy-tech.fr;$2y$10$bp6mJowOfqNDCqWr6uLzNOi6X8LWv7c8pQvsMBfMQbdT44EYIg/Lq;etudiant
189;Blondel;Élisabeth;NULL;NULL;NULL;NULL;gsi;15;11,261;ÉlisabethBlondel@cy-tech.fr;$2y$10$IkGRMfHRder72Nsz38g9/OLZlgmrqEBu6TJY0DIwcNGAh03Xi0Q.2;etudiant
190;Tanguy;Henriette-Marthe;NULL;NULL;NULL;NULL;gsi;15;10,95;Henriette-MartheTanguy@cy-tech.fr;$2y$10$9v8jpyE1qiF.qK.WrkSZD.V1ycDX56VstYoABN8R9iGyetl3juY96;etudiant
191;Guillon;Daniel;NULL;NULL;NULL;NULL;gsi;15;10,726;DanielGuillon@cy-tech.fr;$2y$10$VRiYIUznimVVaMRHkPzA/uRVRhxXyeNSldWYNsoiYJOW8qs8cq54K;etudiant
192;Gimenez;Claude;NULL;NULL;NULL;NULL;gsi;15;10,602;ClaudeGimenez@cy-tech.fr;$2y$10$JCFjYUeSZTca4ffYe6MC/eO.HUmjtv3yFnxS8B7i4v1rd1eo76KK6;etudiant
193;Hubert;Victor;NULL;NULL;NULL;NULL;gsi;15;10,576;VictorHubert@cy-tech.fr;$2y$10$zJqkRhLcJz7rvjmjzxCCpuHnLcUU1l9Tb10YYkblRIZ15VcuYpqnC;etudiant
194;Fischer;Astrid;NULL;NULL;NULL;NULL;gsi;15;10,427;AstridFischer@cy-tech.fr;$2y$10$HNS.g8Zk7WC9QKhiPNFlEugN7YvKmpwGovSDXtXZQ3seNroMyd3cu;etudiant
195;De;Philippe;NULL;NULL;NULL;NULL;gsi;15;9,523;PhilippeDe@cy-tech.fr;$2y$10$OI5cCSkwZAv4d/LMkKOAD.43LA49qcxbzd96Mk4wbX2wSSZmCQweq;etudiant
196;Rousset;Éric;NULL;NULL;NULL;NULL;gsi;15;9,459;ÉricRousset@cy-tech.fr;$2y$10$BnPX5qQp0ixgsrYdwi7uFOneolk4EoQUgq74xnV0Q4Ph.GW1xQ9QW;etudiant
197;Gauthier;Océane;NULL;NULL;NULL;NULL;gsi;0;0;OcéaneGauthier@cy-tech.fr;$2y$10$trvPox.lICygYB08ftBqoeyYKQPH6nYRIIHzTxUnA7PI6Ot0xbr26;etudiant
198;Cohen;Jules;NULL;NULL;NULL;NULL;gsi;0;0;JulesCohen@cy-tech.fr;$2y$10$lAH41/698bu3eyRpYwPo.uJUoQiaDVFKAmEh6/NpTmIX.FthwUMnO;etudiant
199;Morin;Patrick;NULL;NULL;NULL;NULL;gsi;15;10,731;PatrickMorin@cy-tech.fr;$2y$10$BVlRoI5qJRkbIFzObCPvF.tF7gPpkQEb2WR.Dx2wO8RpkbiDLy212;etudiant
200;David-Rey;Augustin;NULL;NULL;NULL;NULL;gsi;15;9,891;AugustinDavid-Rey@cy-tech.fr;$2y$10$2sAlJ/GW8ldlnvT92KK73OeOG3bdtFVlc2Hdnl6E09yaoRKqDamlu;etudiant
201;Albert;Dorothée;NULL;NULL;NULL;NULL;gsi;15;9,291;DorothéeAlbert@cy-tech.fr;$2y$10$pSmnoaJR1ij8sdVbSkPNSewK24xrOYWgqN3fxW2bZp4vem3CUi7/S;etudiant
202;Mallet;Christophe-Honoré;NULL;NULL;NULL;NULL;gsi;15;9,255;Christophe-HonoréMallet@cy-tech.fr;$2y$10$LTwJCmWN9mpxfUijYGFpCemi9pzCMQJE5WR62jOW.MuwD9GTxgM2C;etudiant
203;Leconte;Édouard;NULL;NULL;NULL;NULL;gsi;15;9,007;ÉdouardLeconte@cy-tech.fr;$2y$10$G0.zF5j.qcyKEalbaZdCnOqREveXZvVd.qDF0DVeN5ah1sIbxXOXy;etudiant
204;Leclerc;Dominique;NULL;NULL;NULL;NULL;gsi;0;0;DominiqueLeclerc@cy-tech.fr;$2y$10$yyjYAzKpzYska8emffLm4.2rqCy4UbRvPxnbVr7xQKq2GcM0DeBRa;etudiant
205;Picard;René;NULL;NULL;NULL;NULL;gsi;0;0;RenéPicard@cy-tech.fr;$2y$10$q3HLWCkk/mNzoXkJswevtuR/g3/7mxad2mbyAeil0R/v4mitCDImu;etudiant
206;Arnaud;Jules;NULL;NULL;NULL;NULL;gsi;0;0;JulesArnaud@cy-tech.fr;$2y$10$yZ4y/.y1NBRA8JrsIpMN0.D3WHzzBNHd8Wm2nAy72f9Dq06/p7hv.;etudiant
207;Coulon;Raymond-Édouard;NULL;NULL;NULL;NULL;gsi;15;1,475;Raymond-ÉdouardCoulon@cy-tech.fr;$2y$10$xN.rs3O46D4CdjMnFZCQ2O8N7IfRGENVaH7eup0T18umQMDOwnxtK;etudiant
208;Martin;Joséphine;NULL;NULL;NULL;NULL;gsi;0;0;JoséphineMartin@cy-tech.fr;$2y$10$XxsCc5ZnVRYkzhSv1j8nMuvZQsWF30KmPHpPikUaolyasbNVuCs9W;etudiant
209;du;Nath;NULL;NULL;NULL;NULL;gsi;0;0;Nathdu@cy-tech.fr;$2y$10$uQQfsH/jsSK2ZZEBKhvB5unS/7tKUG5jkHFiZr34njOWGTGnasvQS;etudiant
210;Fournier;Anouk;NULL;NULL;NULL;NULL;gsi;0;0;AnoukFournier@cy-tech.fr;$2y$10$ERQD0jbu.LLJ.vrw11GNm.XaEUha/Oy6fxTtjWjajne.mr8gmCENS;etudiant
211;ds;ds;Homme;2022-05-03;1;1;gsi;1;1;Xess;$2y$10$Q3erD4FdoGTsgdH60BGSoORce1za2AW9YNGy4Ws2TV0FNM/CGlFtq;etudiant
212;ds;ds;Homme;2022-05-12;1;1;gsi;2;3;2;$2y$10$2D66WdM15TBv/r8Yx4Rto..pMgMpbTsDH.Gs3dvOfsCCcr3VmfXvi;etudiant
